Sample Date,Address,1st Draw,2/3 Min,5 Min
4/20/20,100XX S LOWE AVE,< 1,1.9,< 1
10/6/21 15:25,100XX S M ,57,2.5,2.2
1/30/20,100XX S MALTA ST,2.6,4.1,< 1
8/27/19,100XX S MAPLEWOOD AVE,6.4,13,2.5
9/18/19,100XX S MAPLEWOOD AVE,1.9,1.6,1.1
10/28/19,100XX S MAPLEWOOD AVE,8,27,2.3
,100XX S MAPLEWOOD AVE,Customer declined further testing,,
9/29/23 16:00,100XX S MAY ST ,0.8,1.2,0.8
4/9/19,100XX S MERRILL AVE,10,1.5,< 1
3/30/18,100XX S MORGAN ST,1.6,5.6,1.3
8/12/22 6:53,100XX S NORMAL AVE ,1.1,1.7,1.5
7/3/16,100XX S OAKLEY AVE,2.1,2.2,2.1
7/6/16,100XX S OAKLEY AVE,2.6,1.1,< 1
11/4/18,100XX S OAKLEY AVE,5.6,2.1,1.3
3/7/19,100XX S OAKLEY AVE,< 1,1.5,3.5
8/25/19,100XX S OAKLEY AVE,3.8,2.7,2.4
10/22/19,100XX S OGLESBY AVE,1.6,2.1,1
8/3/23 9:00,100XX S OGLESBY AVE ,0.7,<0.5,<0.5
6/21/23,100XX S PARNELL AVE,See Follow-Up Sequential Sampling Table for Results,,
4/27/23 4:00,100XX S PARNELL AVE ,19,13,2.8
4/27/23 4:00,100XX S PARNELL AVE ,19,13,2.8
9/16/21 7:00,100XX S PAXTON AVE ,6.7,8.4,7.5
6/24/19,100XX S PEORIA ST,1.9,2.3,1.6
8/14/19,100XX S PEORIA ST,2.1,3.2,2
10/15/19,100XX S PEORIA ST,6.3,7.7,2.6
3/10/20,100XX S PEORIA ST,5.5,< 1,< 1
8/19/21 8:00,100XX S PEORIA ST ,3.5,8.2,4.5
3/7/23 8:00,100XX S PEORIA ST ,4.9,0.7,<0.5
12/14/18,100XX S PERRY AVE,1,1.6,< 1
4/21/22 16:00,100XX S PERRY AVE ,1.7,3.2,1.8
9/24/21 7:00,100XX S PRAIRIE AVE ,2.1,2.2,7.7
7/9/22 6:31,100XX S PRAIRIE AVE ,1.8,1.8,1.4
7/14/22 5:13,100XX S PRAIRIE AVE ,1.9,1.6,3.1
8/2/22 5:16,100XX S PRINCETON AVE ,2.9,4,1.9
6/27/23 7:35,100XX S PRINCETON AVE ,2.3,0.7,0.5
2/7/23 14:00,100XX S PRINCETON AVE ,150,20,4.5
12/20/18,100XX S PROSPECT AVE,< 1,< 1,1.3
10/7/19,100XX S PROSPECT AVE,8.1,2.2,5
1/21/20,100XX S PROSPECT AVE,5.7,5.9,2.1
6/10/21,100XX S PROSPECT AVE,1.8,4.7,4.3
9/13/21 16:30,100XX S PROSPECT AVE ,1.5,2.5,2.4
6/16/19,100XX S RHODES AVE,4.6,5,4.3
12/7/19,100XX S RHODES AVE,2.1,4.4,1.3
2/1/20,100XX S RHODES AVE,1.6,2.3,3.1
7/5/22 7:33,100XX S RHODES AVE ,<0.5,<0.5,<0.5
7/1/23 7:30,100XX S RHODES AVE ,0.8,0.7,0.6
7/23/19,100XX S SAINT LAWRENCE AVE,4.1,8.6,3.2
11/25/19,100XX S SAINT LAWRENCE AVE,3.2,11,1.3
12/16/19,100XX S SAINT LAWRENCE AVE,4.9,14,4.4
3/8/20,100XX S SAINT LAWRENCE AVE,1.1,< 1,< 1
9/17/20,100XX S SANGAMON ST,1.4,2.8,2.7
7/27/21 7:00,100XX S SANGAMON ST ,2.2,2.8,1.3
5/31/22 8:45,100XX S SANGAMON ST ,2.6,4.8,4.4
3/19/24 14:00,100XX S SANGAMON ST ,0.7,0.7,0.5
3/26/17,100XX S SEELEY AVE,7.4,3.1,1.9
10/28/19,100XX S SEELEY AVE,4.9,4.6,5.7
4/25/22 6:13,100XX S SEELEY AVE ,1.4,3.9,1.7
6/21/23 7:40,100XX S ST LAWRENCE AVE ,2,<0.5,<0.5
10/31/19,100XX S STATE ST,1.1,< 1,< 1
8/23/22 7:00,100XX S STATE ST ,<0.5,<0.5,<0.5
7/25/23 16:00,100XX S STATE ST ,3.7,2.4,1.2
10/16/23,100XX S VERNON AVE,See Follow-Up Sequential Sampling Table for Results,,
7/10/22 8:05,100XX S VERNON AVE ,3.2,2.7,2.3
7/18/23 4:46,100XX S Vernon Ave ,3.8,6.4,2.4
4/4/24 14:45,100XX S VERNON AVE ,2,2.1,<0.5
8/28/23 7:00,100XX S VERNON AVE ,8.2,25,6.9
8/28/23 7:00,100XX S VERNON AVE ,8.2,25,6.9
4/8/19,100XX S WALLACE ST,1.3,2.6,< 1
6/23/16,100XX S WASHTENAW AVE,4,4.7,11
6/23/16 5:11,100XX S WASHTENAW AVE,4,4.7,11
9/16/16,100XX S WASHTENAW AVE,See Follow-Up Sequential Sampling Table for Results,,
6/22/21,100XX S WENTWORTH AVE,1.5,1.1,< 1
11/21/18,100XX S WINCHESTER AVE,6,6.4,3
1/31/20,100XX S WINCHESTER AVE,7.3,7.6,2.2
2/4/20,100XX S WINCHESTER AVE,2.6,5.3,1.3
5/6/19,100XX S WOOD ST,4.6,9,3.2
3/24/21,100XX S WOOD ST,2.2,1.5,1.4
9/13/22 9:56,100XX S YALE AVE ,1.7,1.7,3.1
7/11/16,101XX S ARTESIAN AVE,1.5,4.1,1.4
12/13/18,101XX S ARTESIAN AVE,3.7,7.8,2.2
3/19/19,101XX S ARTESIAN AVE,2,5.6,< 1
5/8/19,101XX S ARTESIAN AVE,2.7,9.6,1.4
5/19/19,101XX S ARTESIAN AVE,3,4.4,1.8
9/2/19,101XX S ARTESIAN AVE,1.9,4.6,1.7
8/30/20,101XX S AVENUE L,1.7,1.6,1.2
11/13/18,101XX S BELL AVE,< 1,< 1,< 1
3/30/19,101XX S BELL AVE,2.7,1.7,1.2
10/9/19,101XX S BELL AVE,1.1,1.5,1.1
4/18/21,101XX S BELL AVE,3.3,13,2.6
,101XX S BELL AVE,Customer declined further testing,,
7/11/16,101XX S BEVERLY AVE,3.8,12,5.7
11/27/18,101XX S BEVERLY AVE,< 1,< 1,< 1
5/25/23 8:00,101XX S BEVERLY AVE ,5.1,8,6.2
1/21/20,101XX S CALHOUN AVE,1.9,4.6,< 1
3/24/19,101XX S CALIFORNIA AVE,1.8,2.6,< 1
12/10/19,101XX S CALIFORNIA AVE,1.5,1.2,< 1
9/15/19,101XX S CARPENTER ST,1.7,4.2,9.2
8/18/21 5:45,101XX S CARPENTER ST ,1.8,6.3,2
9/4/21 10:50,101XX S CARPENTER ST ,1.2,1.5,1.4
4/30/23 7:20,101XX S CARPENTER ST ,1.7,1,0.9
3/19/19,101XX S CRANDON AVE,1.2,7.2,1.5
5/5/23 8:15,101XX S CRANDON AVE ,5.8,3.2,2.7
8/9/19,101XX S DR MARTIN LUTHER KING JR DR,3.7,14,2.2
1/14/20,101XX S DR MARTIN LUTHER KING JR DR,4.7,8.3,1.1
10/31/19,101XX S DR MARTIN LUTHER KING JR DR,23,3.1,1.1
10/31/19,101XX S DR MARTIN LUTHER KING JR DR,23,3.1,1.1
1/8/20,101XX S DR MARTIN LUTHER KING JR DR,See Follow-Up Sequential Sampling Table for Results,,
1/24/23 13:00,101XX S Dr Martin Luther King Jr Dr ,1.5,5.3,0.8
7/3/23 6:05,101XX S DR MARTIN LUTHER KING JR DR ,0.8,1,0.9
7/25/23 10:03,101XX S DR MARTIN LUTHER KING JR DR ,9.1,1.7,0.8
6/19/19,101XX S EBERHART ,16,9,2.3
10/16/19,101XX S EBERHART ,See Follow-Up Sequential Sampling Table for Results,,
6/16/18,101XX S EBERHART AVE,1.8,1.1,1.1
6/19/19,101XX S EBERHART AVE,16,9,2.3
10/9/21 9:00,101XX S EBERHART AVE ,1.9,2.8,1.8
7/11/16,101XX S EMERALD AVE,1.5,1.2,1.2
5/9/19,101XX S EMERALD AVE,1.3,2,1.1
2/18/19,101XX S FAIRFIELD AVE,9.5,9.5,4
2/11/23 14:22,101XX S FAIRFIELD AVE ,2.1,8.9,5.4
4/28/19,101XX S FOREST AVE,5.8,2.9,1.4
12/19/19,101XX S FOREST AVE,1.3,< 1,< 1
7/26/19,101XX S GREEN ST,3.6,5.5,4
9/4/22 9:26,101XX S GREEN ST ,1.3,1.5,1.3
2/21/19,101XX S HOXIE AVE,1.8,1.6,1.1
10/7/22,101XX S HOXIE AVE,See Follow-Up Sequential Sampling Table for Results,,
7/26/22 14:00,101XX S HOXIE AVE ,2.2,18,3.8
7/26/22 14:00,101XX S HOXIE AVE ,2.2,18,3.8
6/25/18,101XX S HOYNE AVE,1.4,2.6,3.7
11/14/22 15:14,101XX S HOYNE AVE ,2.6,5.7,3.9
7/3/23 8:31,101XX S HOYNE AVE ,2.3,2.2,1.8
5/17/16,101XX S INDIANA AVE,1.9,1.5,1.4
3/9/18,101XX S INDIANA AVE,3.4,< 1,< 1
10/27/19,101XX S INDIANA AVE,3.8,14,1.7
12/1/19,101XX S INDIANA AVE,3.2,1.8,1.6
1/19/24,101XX S INDIANA AVE,See Follow-Up Sequential Sampling Table for Results,,
11/7/23 10:00,101XX S INDIANA AVE ,500,11,4.5
11/7/23 10:00,101XX S INDIANA AVE ,500,11,4.5
8/21/21 4:00,101XX S L ,4,8.9,7.3
3/4/23 6:00,101XX S LA SALLE ST ,<0.5,<0.5,<0.5
8/13/21 7:00,101XX S LA SALLE ST ,130,3.4,2.5
2/25/19,101XX S LAFAYETTE AVE,4.1,11,1.8
10/21/22 7:47,101XX S LAFAYETTE AVE ,3.4,2.9,2.5
8/13/21,101XX S LASALLE ST,130,3.4,2.5
3/23/22,101XX S LASALLE ST,See Follow-Up Sequential Sampling Table for Results,,
2/2/21,101XX S LEAVITT ST,< 1,1.2,1.3
9/26/21 5:02,101XX S LEAVITT ST ,3.5,2.7,2.6
4/3/22 10:00,101XX S LEAVITT ST ,4.8,3.9,4
3/15/19,101XX S LONGWOOD DR DR,6,4.9,5.8
10/8/19,101XX S LUELLA AVE,13,14,13
1/22/24,101XX S LUELLA AVE,See Follow-Up Sequential Sampling Table for Results,,
8/5/21 7:00,101XX S LUELLA AVE ,5.8,10,2.6
11/27/23 6:00,101XX S LUELLA AVE ,670,0.8,0.5
6/29/19,101XX S MAPLEWOOD AVE,2.3,2.8,< 1
3/17/19,101XX S MAY ST,2.1,6.6,1.1
1/25/17,101XX S MORGAN ST,6.2,7.3,2.2
9/14/21 10:00,101XX S MORGAN ST ,3.8,4.5,3.9
1/18/24 8:00,101XX S MORGAN ST ,1,<0.5,<0.5
7/27/21 4:30,101XX S NORMAL AVE ,1.7,2,1.4
8/22/23 14:00,101XX S NORMAL AVE ,3.2,3.4,3.4
8/24/19,101XX S OAKLEY AVE,1.2,1.7,8.7
11/8/23 5:50,101XX S OAKLEY AVE ,1.6,1,1.2
12/10/19,101XX S OGLESBY AVE,3.4,2,1.7
12/5/23 17:00,101XX S PAXTON AVE ,6.7,1.8,<0.5
6/13/23 7:00,101XX S PAXTON AVE ,4.5,15,3.1
8/9/19,101XX S PEORIA ST,4.5,2.1,< 1
3/2/20,101XX S PEORIA ST,5.1,6,7.3
3/2/20,101XX S PEORIA ST,5.1,6,7.3
6/18/21,101XX S PEORIA ST,See Follow-Up Sequential Sampling Table for Results,,
7/11/19,101XX S PERRY ,4,17,5.3
11/19/19,101XX S PERRY ,See Follow-Up Sequential Sampling Table for Results,,
7/11/19,101XX S PERRY AVE,4,17,5.3
7/19/22 8:00,101XX S PERRY AVE ,2,8.9,3.2
7/10/16,101XX S PROSPECT AVE,3.4,3.1,2.8
12/2/18,101XX S PROSPECT AVE,7.2,6.1,5.6
4/16/19,101XX S RHODES AVE,4.6,7.2,1.3
5/2/19,101XX S RHODES AVE,2.7,5.5,1.1
9/3/19,101XX S RHODES AVE,5.6,11,5
9/24/22 12:06,101XX S RHODES AVE ,3.4,2.2,1.8
3/6/19,101XX S SAINT LAWRENCE AVE,6.6,2.5,1.4
10/30/19,101XX S SANGAMON ST,4.5,8.5,3.1
8/4/16,101XX S SEELEY AVE,4.6,3.8,2.5
10/11/16,101XX S SEELEY AVE,3.6,11,10
2/23/19,101XX S SEELEY AVE,3.3,6.7,1.6
4/3/19,101XX S SEELEY AVE,< 1,< 1,< 1
11/18/19,101XX S SEELEY AVE,1.1,2.2,< 1
10/11/16,101XX S SEELEY AVE,3.6,11,10
12/10/16,101XX S SEELEY AVE,See Follow-Up Sequential Sampling Table for Results,,
9/17/19,101XX S SPRINGFIELD AVE,4.8,9.7,5.2
10/5/21 5:48,101XX S Springfield Ave ,4.1,8.1,6.1
10/29/18,101XX S ST LAWRENCE AVE,16,7.4,2.6
10/29/18,101XX S ST LAWRENCE AVE,16,7.4,2.6
6/28/21,101XX S ST LAWRENCE AVE,See Follow-Up Sequential Sampling Table for Results,,
8/30/23 11:16,101XX S ST LAWRENCE AVE ,3.6,6.9,7.7
12/5/23 8:20,101XX S ST LAWRENCE AVE ,3,4.6,1.6
11/18/22 9:00,101XX S STATE ST ,0.6,0.6,0.6
2/19/24 7:46,101XX S STATE ST ,0.6,1.2,3.3
1/11/19,101XX S TALMAN AVE,5.7,6,2
7/24/19,101XX S TALMAN AVE,23,13,9.8
,101XX S TALMAN AVE,Customer declined further testing,,
8/31/23 6:00,101XX S UNION AVE ,2.4,2.3,3.8
11/22/19,101XX S VERNON AVE,9.5,8.5,2.2
2/22/22 7:00,101XX S VERNON AVE ,12,8.2,1.4
9/13/22 9:00,101XX S VERNON AVE ,2.6,2.1,2.2
12/21/22 3:00,101XX S VERNON AVE ,1.7,<0.5,<0.5
2/3/19,101XX S WALLACE ST,2.6,2.7,2.6
3/21/19,101XX S WASHTENAW AVE,1.6,2.9,4.4
10/12/19,101XX S WASHTENAW AVE,8.2,8,14
11/27/19,101XX S WASHTENAW AVE,5.1,12,2.2
10/12/19,101XX S WASHTENAW AVE,8.2,8,14
10/26/21,101XX S WASHTENAW AVE,See Follow-Up Sequential Sampling Table for Results,,
2/11/19,101XX S WENTWORTH AVE,< 1,< 1,< 1
3/4/23 9:20,101XX S WENTWORTH AVE ,0.9,0.9,0.9
12/5/23,101XX S WINSTON AVE,See Follow-Up Sequential Sampling Table for Results,,
6/5/24 15:13,101XX S WINSTON AVE ,4.9,5,4.5
10/27/23 12:00,101XX S WINSTON AVE ,8.1,28,4.8
10/27/23 12:00,101XX S WINSTON AVE ,8.1,28,4.8
5/5/19,101XX S YALE AVE,1.2,1.9,< 1
8/28/19,101XX S YALE AVE,4.3,13,6.4
11/22/19,101XX S YALE AVE,8.3,< 1,< 1
2/16/23 8:00,101XX S YALE AVE ,3.4,2.1,1.7
12/13/23 6:42,101XX S YALE AVE ,4.4,1.7,0.6
11/25/19,101XX S YATES AVE,4.2,11,3.5
11/22/19,101XX S YATES AVE,36,9.9,1.8
8/11/19,101XX S YATES AVE,6.5,20,17
11/22/19,101XX S YATES AVE,36.1,9.9,1.8
5/21/21,101XX S YATES AVE,See Follow-Up Sequential Sampling Table for Results,,
8/11/19,101XX S YATES AVE,6.5,20,17
1/24/20,101XX S YATES AVE,See Follow-Up Sequential Sampling Table for Results,,
10/7/21 17:10,101XX S YATES AVE ,4.4,4,3.1
3/14/23 6:45,101XX S YATES AVE ,8.3,10,12
8/16/16,102XX S ABERDEEN ST,4.7,10,5.3
6/14/22 7:00,102XX S ABERDEEN ST ,0.7,1.1,0.7
11/11/18,102XX S ALBANY AVE,1.2,< 1,< 1
6/21/21,102XX S ALBANY AVE,2.6,2.7,2.7
11/30/16,102XX S ARTESIAN AVE,2.8,2.1,1.4
10/3/19,102XX S ARTESIAN AVE,5.8,3.3,1.1
10/12/19,102XX S ARTESIAN AVE,4.6,5.5,5.8
10/22/16,102XX S ARTESIAN AVE,6.1,15,4.7
10/22/16 7:45,102XX S ARTESIAN AVE,6.1,15,4.7
12/20/16,102XX S ARTESIAN AVE,See Follow-Up Sequential Sampling Table for Results,,
8/27/19,102XX S AVENUE L,3.5,1.9,1.7
11/21/19,102XX S AVENUE L,3.1,2.8,1.9
6/24/21,102XX S AVENUE L,2.8,9.4,4.8
10/18/19,102XX S BELL AVE,1.2,5.1,1.1
10/2/21 8:00,102XX S Bensley Ave ,<1.0,<1.0,<1.0
10/10/23 9:15,102XX S BENSLEY AVE ,<0.5,<0.5,<0.5
7/23/16,102XX S BEVERLY AVE,5.4,3.6,3.2
10/15/20,102XX S CALHOUN AVE,1.8,7.3,1
4/11/24,102XX S CALHOUN AVE,See Follow-Up Sequential Sampling Table for Results,,
3/14/23 8:00,102XX S CALHOUN AVE ,10,4.9,1.1
10/30/23 16:01,102XX S CALHOUN AVE ,2.9,11,9.9
7/24/16,102XX S CALIFORNIA AVE,< 1,< 1,< 1
12/15/18,102XX S CALIFORNIA AVE,4.5,5.7,8.2
4/18/19,102XX S CALIFORNIA AVE,1.1,4.1,< 1
12/30/21 23:01,102XX S CALIFORNIA AVE ,0.6,<0.5,<0.5
11/21/19,102XX S CALUMET AVE,2.3,5.2,1.5
2/20/20,102XX S CALUMET AVE,1.9,3.1,< 1
8/8/19,102XX S CARPENTER ST,5.1,8.2,4.6
2/15/24 20:00,102XX S CARPENTER ST ,2.7,2.4,1.2
4/9/19,102XX S CHARLES ST,4.4,9.5,3.1
6/28/23,102XX S CHARLES ST,See Follow-Up Sequential Sampling Table for Results,,
7/26/21 8:20,102XX S CHARLES ST ,<1.0,<1.0,<1.0
12/22/22 5:04,102XX S CHARLES ST ,5.2,7.1,8.3
6/9/23 16:00,102XX S COMMERCIAL AVE ,<0.5,<0.5,<0.5
8/1/16,102XX S CRANDON AVE,2.6,6.4,1.3
6/18/19,102XX S DR MARTIN LUTHER KING JR DR,3.6,12,1.8
7/25/19,102XX S EBERHART AVE,1.4,3.1,1.7
9/2/19,102XX S EBERHART AVE,3.8,4.7,3.1
6/24/21,102XX S EBERHART AVE,< 1,< 1,< 1
10/13/23 14:00,102XX S EMERALD AVE ,5.5,11,4.4
11/15/18,102XX S FOREST AVE,4.1,3.9,10
11/15/18,102XX S FOREST AVE,4.1,3.9,10
2/11/19,102XX S FOREST AVE,See Follow-Up Sequential Sampling Table for Results,,
3/5/24 6:16,102XX S FOREST AVE ,0.7,1.6,1.9
12/10/19,102XX S GREEN ST,3.4,11,2.8
3/5/24 15:56,102XX S HALSTED ST ,1.1,7,1
9/19/19,102XX S HOXIE AVE,2.6,2.3,2.1
9/11/19,102XX S HOYNE AVE,1.9,5.7,2.9
8/20/19,102XX S LA SALLE ST,1.9,1.7,1.6
9/19/21 17:00,102XX S La Salle St ,140,10,4
7/27/21 9:00,102XX S LAFAYETTE AVE ,4.9,9.4,2.1
9/14/23 9:00,102XX S LAFAYETTE AVE ,1.3,9,4.4
9/19/21,102XX S LASALLE ST,140,10,4
8/11/22,102XX S LASALLE ST,See Follow-Up Sequential Sampling Table for Results,,
9/25/16,102XX S LEAVITT ST,2.6,3,2.7
7/3/18,102XX S LEAVITT ST,2.1,4,2.5
4/13/19,102XX S LEAVITT ST,4.8,3,5.6
3/30/20,102XX S LEAVITT ST,1.6,1.9,1
8/12/20,102XX S MAY ST,8.4,7.4,13
8/12/20,102XX S MAY ST,8.4,7.4,13
6/23/21,102XX S MAY ST,See Follow-Up Sequential Sampling Table for Results,,
10/28/21 6:11,102XX S MICHIGAN AVE,<1.0,<1.0,<1.0
4/27/19,102XX S MORGAN ST,1.1,< 1,< 1
2/25/20,102XX S MORGAN ST,1.7,5.3,1.2
4/30/21,102XX S MORGAN ST,1.4,3,2.8
5/9/22 5:30,102XX S MORGAN ST ,1.1,0.8,<0.5
10/22/23 12:04,102XX S MORGAN ST ,<0.5,<0.5,<0.5
4/17/19,102XX S NORMAL AVE,< 1,< 1,< 1
4/17/19,102XX S NORMAL AVE,< 1,< 1,< 1
4/2/19,102XX S OAKLEY AVE,2.3,1.5,< 1
4/7/19,102XX S OAKLEY AVE,3.1,7.5,1.2
5/17/19,102XX S OAKLEY AVE,3.1,5,1.1
9/18/19,102XX S OAKLEY AVE,3,2.4,4.4
5/3/19,102XX S OGLESBY AVE,13,18,3.5
5/3/19,102XX S OGLESBY AVE,13,18,3.5
9/17/19 8:11,102XX S OGLESBY AVE,See Follow-Up Sequential Sampling Table for Results,,
2/21/23 7:00,102XX S PARNELL AVE ,1.4,1,0.5
6/1/24 16:55,102XX S PERRY AVE ,3.1,2.4,1
8/21/19,102XX S PRAIRIE AVE,5.3,5.4,4.8
3/21/24 7:00,102XX S PRINCETON AVE ,4.3,5.7,2.6
9/26/19,102XX S PROSPECT AVE,2.7,3.8,2.1
1/6/20,102XX S PROSPECT AVE,2.9,6.1,2.3
2/19/19,102XX S RHODES AVE,3.5,2.6,1.5
1/14/20,102XX S RHODES AVE,2.3,6.4,2.2
7/28/21 11:29,102XX S SAINT LAWRENCE AVE ,2.9,7.8,3
8/6/16,102XX S SEELEY AVE,3.1,2.2,2
11/21/18,102XX S SEELEY AVE,1.9,1.3,< 1
8/6/16,102XX S SPRINGFIELD AVE,3.8,8.8,3.4
11/27/19,102XX S SPRINGFIELD AVE,2.3,4.5,1.4
5/9/23 7:00,102XX S TORRENCE AVE ,4.4,7.1,1.4
